最优灵敏度,适配评分,适配等级,环境适配,趋势捕获率%,效率分,回撤控分,资金分,胜率分,波动分,基金代码,基金名称,所属板块,回测区间,交易天数,策略收益%,年化收益%,买入持有%,买持年化%,超额收益%,最大回撤%,买持最大回撤%,回撤起始,回撤结束,回撤持续天数,夏普比率,卡尔马比率,日均波动%,最大单日涨%,最大单日跌%,均值回归率%,买入次数,卖出次数,胜率%,月度胜率%,平均盈利,平均亏损,盈亏比,中位盈亏,P10盈亏,P90盈亏,最大单笔盈利,最大单笔亏损,最大连续亏损次数,最大连续盈利次数,平均仓位%,持仓天数占比%,空仓天数占比%,平均持仓天数,中位持仓天数,最长持仓天数,已实现盈亏,剩余现金,持仓市值,期末总值,牛市半年数,牛市策略收益%,牛市买持收益%,熊市半年数,熊市策略收益%,熊市买持收益%,震荡半年数,震荡策略收益%,震荡买持收益%,牛市天数,震荡天数,熊市天数,信号:低位建仓,信号:冷却期后建仓,信号:分批止盈,信号:反弹建仓,信号:大跌抄底,信号:常规止损(L2),信号:延迟回补(分批止盈),信号:延迟回补(强势止盈),信号:延迟回补(慢涨止盈),信号:延迟回补(扭亏分批止盈),信号:延迟回补(扭亏强势止盈),信号:延迟回补(扭亏慢涨止盈),信号:延迟回补(扭亏止盈卖出),信号:延迟回补(止盈卖出),信号:强势止盈,信号:慢涨止盈,信号:扭亏分批止盈,信号:扭亏强势止盈,信号:扭亏慢涨止盈,信号:扭亏止盈卖出,信号:极端止损(L3),信号:止盈卖出,信号:温和回调建仓,信号:灾难保底减仓,信号:灾难保护,信号:灾难保护(暴跌),信号:短期深亏安全网,信号:补仓(第1次),信号:补仓(第2次),信号:补仓(第3次),信号:趋势确认减仓,信号:趋势转弱,信号:跌势放缓建仓,信号:连跌低吸,分批止盈:次数,分批止盈:胜率%,分批止盈:总盈亏,分批止盈:平均盈亏,常规止损(L2):次数,常规止损(L2):胜率%,常规止损(L2):总盈亏,常规止损(L2):平均盈亏,强势止盈:次数,强势止盈:胜率%,强势止盈:总盈亏,强势止盈:平均盈亏,慢涨止盈:次数,慢涨止盈:胜率%,慢涨止盈:总盈亏,慢涨止盈:平均盈亏,扭亏分批止盈:次数,扭亏分批止盈:胜率%,扭亏分批止盈:总盈亏,扭亏分批止盈:平均盈亏,扭亏强势止盈:次数,扭亏强势止盈:胜率%,扭亏强势止盈:总盈亏,扭亏强势止盈:平均盈亏,扭亏慢涨止盈:次数,扭亏慢涨止盈:胜率%,扭亏慢涨止盈:总盈亏,扭亏慢涨止盈:平均盈亏,扭亏止盈卖出:次数,扭亏止盈卖出:胜率%,扭亏止盈卖出:总盈亏,扭亏止盈卖出:平均盈亏,极端止损(L3):次数,极端止损(L3):胜率%,极端止损(L3):总盈亏,极端止损(L3):平均盈亏,止盈卖出:次数,止盈卖出:胜率%,止盈卖出:总盈亏,止盈卖出:平均盈亏,灾难保底减仓:次数,灾难保底减仓:胜率%,灾难保底减仓:总盈亏,灾难保底减仓:平均盈亏,灾难保护:次数,灾难保护:胜率%,灾难保护:总盈亏,灾难保护:平均盈亏,灾难保护(暴跌):次数,灾难保护(暴跌):胜率%,灾难保护(暴跌):总盈亏,灾难保护(暴跌):平均盈亏,短期深亏安全网:次数,短期深亏安全网:胜率%,短期深亏安全网:总盈亏,短期深亏安全网:平均盈亏,趋势确认减仓:次数,趋势确认减仓:胜率%,趋势确认减仓:总盈亏,趋势确认减仓:平均盈亏,趋势转弱:次数,趋势转弱:胜率%,趋势转弱:总盈亏,趋势转弱:平均盈亏
1.05,62.2,B-良好,全天候/熊市优/震荡优,64.9,16.9,24.4,3.6,7.3,10,014194,汇添富中证芯片产业指数增强发起式C,半导体,2022-01-07 ~ 2026-03-20,1018,27.54,6.21,42.41,9.15,-14.87,11.01,49.01,2023-04-20,2024-02-02,352,0.65,0.56,1.49,14.76,-8.62,50.4,25,227,57.7,49.0,30.96,-20.69,1.5,0.02,-17.87,26.5,926.08,-244.23,18,18,17.9,99.3,0.7,15.0,18,35,2772.92,12533.71,220.36,12754.07,2,24.61,86.38,3,-5.33,-39.28,4,7.22,7.18,0,965,53,1,2,27,0,0,59,6,0,0,0,1,0,0,2,0,10,30,7,3,28,7,40,3,4,0,0,0,6,3,0,0,12,1,0,27,85.2,695.31,25.75,59,0.0,-737.1,-12.49,0,0,0,0,10,80.0,148.59,14.86,30,73.3,48.09,1.6,7,100.0,1869.82,267.12,3,66.7,31.04,10.35,28,82.1,24.06,0.86,7,0.0,-422.42,-60.35,40,87.5,872.06,21.8,4,0.0,-123.28,-30.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,91.7,366.75,30.56
0.95,79.0,A-极佳,待观察,21.2,30,23.6,3.2,12.2,10,021894,易方达半导体设备ETF联接C,半导体,2024-12-27 ~ 2026-03-20,295,10.94,9.27,51.58,42.66,-40.64,3.75,14.64,2024-12-27,2025-01-06,160,1.37,2.47,1.405,7.54,-7.04,55.9,8,56,83.9,81.2,30.32,-70.37,0.43,4.69,0.0,45.86,527.03,-87.6,4,19,16.2,99.3,0.7,16.0,18,35,1143.42,10108.39,985.34,11093.73,2,11.34,57.8,0,0,0,2,-0.55,-6.71,0,288,7,0,0,12,0,0,0,1,0,1,0,0,0,0,0,2,5,3,4,2,9,0,10,3,0,0,2,2,2,1,0,0,5,0,0,12,75.0,299.07,24.92,0,0,0,0,2,100.0,88.77,44.38,5,100.0,59.18,11.84,3,66.7,46.44,15.48,4,75.0,56.95,14.24,2,100.0,25.29,12.64,9,100.0,84.39,9.38,0,0,0,0,10,100.0,704.55,70.45,0,0,0,0,0,0,0,0,2,0.0,-167.0,-83.5,2,0.0,-114.48,-57.24,0,0,0,0,5,100.0,60.26,12.05
0.85,51.6,C-一般,全天候/熊市优/震荡优,86.4,7.5,23.8,3.3,7.0,10,008888,华夏国证半导体芯片ETF联接C,半导体,2020-07-06 ~ 2026-03-20,1387,22.18,3.71,25.68,4.24,-3.5,14.79,59.94,2020-07-15,2022-04-26,1026,0.49,0.25,1.489,14.27,-8.25,50.8,29,280,58.9,46.4,24.33,-22.23,1.09,0.04,-8.05,20.34,773.12,-255.43,23,19,16.6,99.1,0.9,12.8,2,69,2347.1,8755.95,3462.11,12218.06,3,21.79,101.68,3,-1.9,-52.23,6,1.95,-5.55,0,1314,73,3,1,54,0,2,57,5,0,0,0,0,0,2,2,0,31,16,6,14,18,13,45,0,0,0,4,2,6,5,3,13,7,0,0,54,72.2,447.76,8.29,57,0.0,-462.07,-8.11,0,0,0,0,31,96.8,106.58,3.44,16,87.5,75.79,4.74,6,100.0,896.19,149.37,14,85.7,52.39,3.74,18,94.4,925.84,51.44,13,0.0,-509.71,-39.21,45,91.1,1460.09,32.45,0,0,0,0,0,0,0,0,4,0.0,-301.93,-75.48,2,0.0,-173.35,-86.67,13,0.0,-220.16,-16.94,7,85.7,49.68,7.1
0.9,74.9,A-极佳,全天候/熊市优/震荡优,45.4,30,22.9,4.3,7.7,10,017470,嘉实上证科创板芯片ETF发起联接C,半导体,2023-01-06 ~ 2026-03-20,775,51.0,14.34,112.23,27.72,-61.23,13.11,46.29,2023-05-31,2024-02-05,326,1.13,1.09,1.572,17.48,-9.07,51.1,20,134,64.2,51.3,71.78,-33.1,2.17,0.17,-19.21,77.89,978.69,-286.61,9,22,21.4,98.1,1.9,12.4,8,51,5146.71,11845.57,3254.56,15100.13,3,44.89,119.27,2,-6.15,-27.28,2,7.0,6.66,0,744,31,0,1,28,0,1,18,1,0,1,0,0,0,2,1,0,20,2,5,0,11,8,32,2,0,0,2,1,5,3,1,3,4,1,1,28,71.4,269.58,9.63,18,0.0,-410.61,-22.81,0,0,0,0,20,80.0,405.4,20.27,2,50.0,0.02,0.01,5,100.0,1377.64,275.53,0,0,0,0,11,100.0,3313.93,301.27,8,0.0,-460.34,-57.54,32,90.6,776.01,24.25,0,0,0,0,0,0,0,0,2,0.0,-92.07,-46.03,1,0.0,-23.2,-23.2,3,0.0,-39.82,-13.27,4,100.0,30.17,7.54
1.0,75.5,A-极佳,震荡优,28.6,30,21.4,4.7,9.4,10,020629,汇添富上证科创板芯片ETF发起式联接C,半导体,2024-04-18 ~ 2026-03-20,466,48.11,23.66,168.22,70.5,-120.11,6.27,18.34,2025-10-27,2025-11-21,113,1.66,3.77,1.637,17.86,-9.04,50.8,17,103,89.3,62.5,56.79,-123.87,0.46,0.52,0.0,123.87,1056.96,-220.23,1,16,23.6,98.9,1.1,25.7,27,68,4852.71,14341.1,469.55,14810.65,2,28.26,110.95,0,0,0,3,13.36,10.86,0,457,9,0,2,8,1,0,0,0,0,0,0,0,1,4,2,1,2,2,5,2,39,1,41,1,0,0,1,0,3,2,0,1,0,0,1,8,100.0,218.17,27.27,0,0,0,0,1,100.0,0.01,0.01,2,100.0,0.13,0.07,2,100.0,57.98,28.99,5,100.0,572.75,114.55,2,100.0,36.61,18.3,39,92.3,2616.94,67.1,1,0.0,-220.23,-220.23,41,87.8,1721.74,41.99,0,0,0,0,0,0,0,0,1,0.0,-0.46,-0.46,0,0,0,0,1,0.0,-150.93,-150.93,0,0,0,0
1.15,47.7,C-一般,全天候/熊市优/震荡优,171.4,5.6,21.6,3.7,6.8,10,012970,鹏华国证半导体芯片ETF联接C,半导体,2021-09-24 ~ 2026-03-20,1087,16.15,3.53,9.42,2.11,6.73,18.97,56.51,2021-11-11,2024-02-05,916,0.45,0.19,1.422,13.98,-7.56,51.1,25,218,56.4,45.5,31.77,-38.29,0.83,0.02,-24.39,22.62,943.93,-548.09,15,24,18.3,99.2,0.8,12.1,5,49,1648.17,11134.78,479.83,11614.61,2,26.09,79.29,3,-9.3,-52.0,5,0.65,0.28,0,1029,58,1,0,50,1,2,52,2,0,0,0,1,0,2,2,0,17,12,7,5,15,9,36,1,6,0,1,1,5,4,1,3,4,3,0,50,82.0,589.49,11.79,52,0.0,-805.93,-15.5,0,0,0,0,17,82.4,25.18,1.48,12,100.0,337.41,28.12,7,100.0,1059.35,151.34,5,60.0,3.2,0.64,15,100.0,624.91,41.66,9,0.0,-996.5,-110.72,36,77.8,1245.06,34.59,6,0.0,-126.27,-21.04,0,0,0,0,1,0.0,-36.3,-36.3,1,0.0,-36.29,-36.29,3,0.0,-258.06,-86.02,4,75.0,22.92,5.73
1.3,74.1,A-极佳,震荡优,21.7,30,18.9,5.9,9.3,10,021533,天弘半导体设备指数C,半导体,2024-07-16 ~ 2026-03-20,406,19.79,11.86,91.4,49.62,-71.61,9.88,22.3,2024-08-01,2024-09-23,171,0.91,1.2,1.574,14.76,-7.16,55.5,13,73,87.7,61.9,49.25,-110.4,0.45,0.99,0.0,130.63,532.16,-161.68,2,40,29.5,96.6,3.4,22.3,23,52,2489.43,7625.82,4352.94,11978.76,2,15.7,64.72,0,0,0,2,3.05,11.05,0,396,10,0,2,13,1,1,4,0,0,2,0,1,0,1,0,0,4,0,8,1,11,0,28,0,0,0,0,1,4,1,0,1,2,0,0,13,100.0,40.75,3.13,4,0.0,-342.74,-85.69,0,0,0,0,4,100.0,14.94,3.73,0,0,0,0,8,100.0,889.32,111.17,1,100.0,0.01,0.01,11,100.0,949.51,86.32,0,0,0,0,28,89.3,1186.12,42.36,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-158.01,-158.01,1,0.0,-161.68,-161.68,2,100.0,71.21,35.6
1.3,73.3,A-极佳,震荡优,24.3,30,18.2,5.7,9.4,10,020640,广发半导体设备ETF联接C,半导体,2024-04-08 ~ 2026-03-20,474,24.07,12.15,98.9,44.14,-74.83,10.01,21.12,2024-07-19,2024-09-23,215,1.01,1.21,1.499,15.33,-6.94,53.4,13,69,85.5,62.5,46.32,-52.95,0.87,2.69,0.0,138.43,489.16,-75.12,5,21,28.6,99.4,0.6,36.8,44,96,2415.17,12233.06,173.59,12406.65,3,18.95,81.59,0,0,0,2,3.32,-1.29,0,462,12,0,1,12,0,0,5,0,0,2,0,1,0,2,0,0,5,1,10,0,15,0,16,1,0,0,0,0,3,2,0,1,4,1,0,12,100.0,51.73,4.31,5,0.0,-256.26,-51.25,0,0,0,0,5,100.0,16.79,3.36,1,0.0,0.0,0.0,10,100.0,409.15,40.91,0,0,0,0,15,100.0,1393.75,92.92,0,0,0,0,16,81.2,779.61,48.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,-61.43,-61.43,4,100.0,81.83,20.46
1.15,56.1,B-良好,熊市优,32.8,16.3,19.0,2.8,8.0,10,018777,金信精选成长混合C,半导体,2023-10-30 ~ 2026-03-20,581,20.69,8.5,63.11,23.64,-42.42,15.62,35.42,2023-11-14,2024-09-23,234,0.77,0.54,1.847,15.91,-8.67,48.4,19,142,76.8,53.3,32.14,-79.59,0.4,0.14,-0.9,47.23,612.44,-416.01,7,29,13.9,98.6,1.4,8.8,7,47,2309.18,9209.19,2860.12,12069.31,3,30.94,84.65,1,-7.83,-10.01,2,-1.8,-11.98,0,553,28,2,1,17,0,1,4,3,0,0,0,1,0,5,0,1,9,17,4,4,36,6,36,1,0,0,1,1,3,2,0,3,3,0,0,17,100.0,291.87,17.17,4,0.0,-288.48,-72.12,1,100.0,0.02,0.02,9,100.0,9.48,1.05,17,64.7,46.74,2.75,4,100.0,278.92,69.73,4,100.0,0.4,0.1,36,80.6,1801.22,50.03,6,0.0,-694.08,-115.68,36,86.1,1030.04,28.61,0,0,0,0,0,0,0,0,1,0.0,-0.9,-0.9,1,0.0,-133.07,-133.07,3,0.0,-77.32,-25.77,3,100.0,44.34,14.78
1.3,73.4,A-极佳,震荡优,22.0,30,18.5,5.9,9.0,10,020465,招商中证半导体产业ETF发起式联接C,半导体,2024-03-08 ~ 2026-03-20,493,20.48,9.99,92.91,39.91,-72.43,9.34,20.32,2024-07-19,2024-09-23,161,0.9,1.07,1.511,11.5,-7.47,53.3,15,78,88.5,60.0,35.78,-66.04,0.54,1.65,0.0,107.73,663.05,-112.33,4,25,29.4,98.8,1.2,27.2,25,67,2138.39,10766.5,1281.25,12047.75,2,8.43,76.92,0,0,0,3,10.78,3.11,0,482,11,1,0,13,0,0,3,0,0,2,0,0,0,3,2,0,9,4,9,1,21,0,15,2,0,0,0,0,3,2,0,2,1,0,0,13,100.0,123.72,9.52,3,0.0,-131.01,-43.67,0,0,0,0,9,100.0,66.2,7.36,4,100.0,24.36,6.09,9,100.0,674.41,74.93,1,100.0,1.04,1.04,21,90.5,1278.16,60.86,0,0,0,0,15,86.7,297.24,19.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,-199.18,-99.59,1,100.0,3.45,3.45
1.2,52.8,C-一般,全天候/熊市优/震荡优,60.0,8.8,22.3,3.8,7.9,10,007491,南方信息创新混合C,半导体,2020-02-18 ~ 2026-03-20,1480,35.4,5.3,58.96,8.21,-23.56,18.05,58.53,2021-06-30,2022-12-23,663,0.68,0.29,1.591,14.91,-8.18,52.0,29,239,61.1,52.7,40.0,-26.69,1.5,0.08,-18.73,48.21,951.18,-531.9,27,33,18.9,98.2,1.8,20.3,21,63,3544.02,13464.67,75.37,13540.04,5,32.3,123.2,4,-10.49,-71.32,4,10.68,18.26,0,1401,79,2,2,28,1,0,65,0,0,1,0,2,0,4,1,3,20,4,7,4,43,11,39,4,2,0,0,1,7,2,0,9,3,3,0,28,100.0,432.86,15.46,65,0.0,-1342.06,-20.65,3,100.0,111.66,37.22,20,95.0,168.1,8.4,4,100.0,145.78,36.45,7,100.0,1501.62,214.52,4,100.0,30.11,7.53,43,95.3,1280.27,29.77,11,0.0,-680.23,-61.84,39,94.9,2128.56,54.58,2,0.0,-125.15,-62.58,0,0,0,0,0,0,0,0,1,0.0,-88.6,-88.6,9,0.0,-59.61,-6.62,3,100.0,40.71,13.57
0.8,59.8,B-良好,全天候/熊市优/震荡优,36.6,17.9,21.8,4.0,6.1,10,017811,东方人工智能主题混合C,半导体,2023-03-22 ~ 2026-03-20,727,29.36,9.33,80.12,22.63,-50.76,15.62,47.52,2023-04-20,2024-02-05,353,0.8,0.6,1.801,16.06,-7.25,50.7,23,149,69.1,40.5,47.0,-59.83,0.79,0.22,-14.61,59.37,725.66,-424.94,9,20,19.9,99.0,1.0,13.7,15,43,3225.84,7885.31,5050.72,12936.03,4,31.15,103.39,2,-6.72,-30.98,1,2.74,3.52,0,684,43,3,0,13,0,0,16,0,0,0,1,1,0,3,0,2,9,8,5,0,31,9,40,3,1,0,0,1,7,3,1,4,10,1,0,13,76.9,84.53,6.5,16,0.0,-281.56,-17.6,2,100.0,1.36,0.68,9,77.8,30.74,3.42,8,100.0,121.2,15.15,5,100.0,919.99,184.0,0,0,0,0,31,87.1,1936.39,62.46,9,0.0,-827.73,-91.97,40,87.5,1650.67,41.27,1,0.0,-87.68,-87.68,0,0,0,0,0,0,0,0,1,0.0,-63.73,-63.73,4,0.0,-354.65,-88.66,10,90.0,96.31,9.63
1.25,57.1,B-良好,待观察,15.4,14.1,23.3,4.0,5.7,10,019633,国泰半导体设备ETF联接C,半导体,2023-11-07 ~ 2026-03-20,575,9.13,3.91,59.28,22.63,-50.15,8.34,31.05,2023-11-20,2024-02-02,423,0.49,0.47,1.484,14.64,-6.96,51.7,13,74,68.9,37.9,51.42,-75.49,0.68,0.14,-80.33,104.0,668.61,-210.17,8,18,20.0,97.4,2.6,24.6,24,58,1414.87,6551.27,4362.16,10913.43,2,14.65,64.63,0,0,0,4,-5.2,-6.98,0,557,18,0,1,9,1,0,9,0,0,0,0,1,0,1,1,1,7,0,5,0,18,2,14,2,2,0,0,1,4,1,0,2,4,1,0,9,88.9,10.72,1.19,9,0.0,-546.72,-60.75,1,100.0,116.3,116.3,7,42.9,57.24,8.18,0,0,0,0,5,100.0,302.43,60.49,0,0,0,0,18,88.9,385.96,21.44,2,0.0,-295.17,-147.59,14,100.0,1624.44,116.03,2,0.0,-118.83,-59.41,0,0,0,0,0,0,0,0,1,0.0,-155.09,-155.09,2,0.0,-91.97,-45.98,4,100.0,125.56,31.39
0.8,76.0,A-极佳,待观察,17.4,30,22.4,4.6,9.0,10,020357,华夏半导体材料设备ETF联接C,半导体,2024-03-15 ~ 2026-03-20,488,14.45,7.22,82.82,36.56,-68.37,6.91,22.81,2024-10-08,2025-01-03,213,0.77,1.05,1.529,14.42,-7.1,53.6,15,108,72.2,60.0,34.18,-36.2,0.94,0.17,-29.5,21.3,603.02,-178.63,17,32,23.0,98.2,1.8,14.0,12,34,1761.1,7004.29,4440.7,11444.99,3,18.93,75.48,0,0,0,2,-4.66,-4.41,0,476,12,0,2,13,0,0,17,1,0,0,1,0,0,0,1,1,7,14,5,5,15,4,20,2,0,0,1,1,4,2,1,2,3,0,1,13,100.0,24.36,1.87,17,0.0,-299.23,-17.6,1,100.0,218.28,218.28,7,100.0,17.67,2.52,14,85.7,125.1,8.94,5,100.0,12.45,2.49,5,80.0,34.51,6.9,15,100.0,219.04,14.6,4,0.0,-260.8,-65.2,20,90.0,1981.4,99.07,0,0,0,0,0,0,0,0,1,0.0,-121.44,-121.44,1,0.0,-109.72,-109.72,2,0.0,-113.77,-56.88,3,100.0,33.25,11.08
0.85,53.0,C-一般,熊市优,10.0,8.1,23.1,4.0,7.8,10,019571,诺安优化配置混合C,半导体,2023-11-02 ~ 2026-03-20,578,6.24,2.67,62.3,23.51,-56.06,9.86,35.87,2023-11-08,2024-02-05,220,0.35,0.27,1.674,16.11,-7.63,51.2,14,87,59.8,51.7,39.61,-32.91,1.2,0.05,-46.58,72.25,534.04,-161.65,20,17,19.9,98.1,1.9,9.6,8,31,1006.95,5124.29,5499.35,10623.64,2,10.75,86.93,1,-2.6,-17.53,3,-1.62,-3.62,0,545,33,1,1,6,0,0,17,0,0,0,0,1,0,0,1,0,2,5,4,0,1,6,32,1,1,0,0,2,4,3,0,5,6,1,1,6,66.7,122.28,20.38,17,0.0,-299.64,-17.63,0,0,0,0,2,100.0,112.73,56.37,5,100.0,4.75,0.95,4,100.0,675.85,168.96,0,0,0,0,1,100.0,0.27,0.27,6,0.0,-407.48,-67.91,32,96.9,1024.89,32.03,1,0.0,-4.55,-4.55,0,0,0,0,0,0,0,0,2,0.0,-99.15,-49.58,5,0.0,-242.15,-48.43,6,83.3,119.15,19.86
1.0,69.06,,,75.72,24.02,22.21,4.52,8.31,10.0,---,【半导体】平均,半导体,,,28.7,13.37,63.15,30.48,-34.46,9.71,34.76,,,295.45,1.15,2.1,1.58,13.48,-8.16,51.8,16.6,120.5,72.86,55.39,56.47,-41.27,1.37,1.81,-13.71,125.22,835.36,-189.29,10.93,22.24,22.58,98.27,1.73,19.9,19.21,53.41,3013.63,,,12869.41,2.31,23.68,79.87,1.21,-2.4,-19.67,2.86,4.94,1.22,0.6,0.9,16.8,0.4,0.4,21.4,0.9,0.0,0.6,0.3,0.7,0.2,1.3,1.1,0.8,9.2,7.3,5.1,2.5,17.6,5.2,25.7,2.0,0.8,0.0,0.8,0.6,4.0,1.9,0.4,2.8,4.1,0.6,0.2,16.8,85.2,352.02,20.92,21.4,0.2,-319.39,-14.92,0.8,95.5,33.97,44.78,9.2,90.2,136.26,14.86,7.3,84.4,67.5,9.28,5.1,99.3,792.04,156.25,2.5,83.3,15.6,6.28,17.6,92.8,1032.27,58.58,5.2,0.0,-302.85,-58.16,25.7,89.7,1354.97,52.81,0.8,0.0,-37.82,-49.85,0.0,0.0,0.0,0.0,0.8,0.0,-42.9,-56.56,0.6,0.0,-44.45,-71.61,2.8,0.0,-97.5,-34.91,4.1,92.4,73.9,18.16
0.8,77.0,A-极佳,全天候/熊市优/震荡优,219.5,30,25,2.6,9.4,10,024738,永赢新材料智选混合发起C,固态电池,2025-08-25 ~ 2026-03-20,136,7.61,14.55,-6.37,-11.48,13.98,3.02,23.39,2025-09-11,2025-10-17,80,1.54,4.82,1.796,10.21,-6.47,48.1,7,43,86.0,62.5,22.35,0,999,0.19,0.0,46.21,289.15,0.0,0,12,12.8,98.5,1.5,7.8,15,16,826.82,9283.53,1477.24,10760.77,0,0,0,1,-0.74,-13.99,1,8.41,8.86,0,130,6,0,0,7,0,0,0,1,0,0,0,0,0,0,3,0,0,2,0,0,23,0,11,0,0,0,0,0,1,1,0,0,0,0,1,7,100.0,349.06,49.87,0,0,0,0,0,0,0,0,0,0,0,0,2,100.0,0.2,0.1,0,0,0,0,0,0,0,0,23,73.9,26.99,1.17,0,0,0,0,11,100.0,450.57,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.95,78.0,A-极佳,震荡优,158.3,30,24.1,5.2,8.7,10,023159,上银先进制造混合发起式C,固态电池,2025-04-29 ~ 2026-03-20,216,11.29,13.3,7.13,8.36,4.16,4.65,19.84,2026-02-26,2026-03-20,80,1.75,2.86,1.195,6.24,-4.94,54.7,4,32,75.0,58.3,60.47,-25.39,2.38,0.76,0.0,149.88,564.4,-25.39,1,13,25.8,99.5,0.5,47.5,82,82,1425.82,6280.5,4848.92,11129.42,0,0,0,0,0,0,3,11.11,7.01,0,212,4,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,15,1,0,0,1,0,2,0,0,0,1,0,0,9,88.9,579.68,64.41,0,0,0,0,0,0,0,0,5,20.0,0.59,0.12,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,0,0,15,93.3,869.04,57.94,0,0,0,0,0,0,0,0,1,0.0,-25.39,-25.39,0,0,0,0,0,0,0,0,1,100.0,1.9,1.9
1.3,60.2,B-良好,全天候/熊市优/震荡优,100.0,11.3,25,5.6,8.3,10,010032,华泰柏瑞新兴产业混合C,固态电池,2020-09-17 ~ 2026-03-20,1334,20.13,3.53,-3.78,-0.73,23.91,9.35,46.99,2022-06-30,2024-02-05,550,0.58,0.38,0.971,8.23,-8.1,51.0,27,189,61.9,55.2,29.81,-12.24,2.44,0.03,-12.97,39.38,565.93,-98.06,22,22,27.9,99.0,1.0,34.9,9,108,2765.94,7019.07,4993.93,12013.0,2,9.31,33.54,2,4.18,-28.03,8,5.76,-2.99,0,1306,28,0,2,39,2,0,49,3,0,1,1,0,0,3,2,1,11,10,6,2,29,10,31,4,0,0,0,0,6,2,1,0,1,0,0,39,94.9,519.72,13.33,49,0.0,-572.63,-11.69,1,100.0,2.6,2.6,11,81.8,235.38,21.4,10,70.0,83.56,8.36,6,100.0,412.71,68.78,2,50.0,0.09,0.04,29,96.6,443.79,15.3,10,0.0,-149.47,-14.95,31,87.1,1738.78,56.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100.0,51.41,51.41
0.8,78.6,A-极佳,震荡优,15.5,30,23.8,3.6,11.2,10,025924,平安新能源精选混合发起式C,固态电池,2025-12-11 ~ 2026-03-20,64,2.33,9.47,14.99,73.32,-12.66,3.49,14.02,2026-03-12,2026-03-19,32,1.33,2.71,1.488,5.67,-5.46,44.4,2,15,93.3,75.0,21.96,0,999,0.41,0.01,83.0,146.09,0.0,0,14,18.2,98.4,1.6,26.0,26,26,307.51,5807.51,4425.0,10232.51,0,0,0,0,0,0,2,2.31,14.48,0,63,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,6,100.0,163.62,27.27,0,0,0,0,0,0,0,0,3,100.0,47.63,15.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,83.3,96.26,16.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,75.7,A-极佳,震荡优,30.2,30,22.9,6.2,6.6,10,021964,天弘储能电池指数C,固态电池,2024-12-27 ~ 2026-03-20,295,18.9,15.93,62.67,51.53,-43.77,5.75,20.26,2025-02-27,2025-06-03,113,1.67,2.77,1.25,6.18,-12.5,53.3,10,63,66.7,43.8,44.61,-9.77,4.57,0.13,-6.04,67.04,900.53,-31.86,12,15,31.2,99.0,1.0,12.6,1,52,1756.43,10226.4,1663.19,11889.59,1,13.6,51.07,0,0,0,3,4.68,7.84,0,291,4,0,0,9,1,1,4,0,0,0,1,0,3,0,2,0,4,10,4,6,13,2,4,0,0,0,0,3,1,1,0,3,1,0,0,9,88.9,97.63,10.85,4,0.0,-32.64,-8.16,0,0,0,0,4,100.0,2.12,0.53,10,70.0,82.27,8.23,4,100.0,232.22,58.05,6,100.0,211.6,35.27,13,69.2,61.08,4.7,2,0.0,-46.5,-23.25,4,75.0,1179.24,294.81,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,-25.54,-8.51,3,0.0,-12.54,-4.18,1,100.0,7.49,7.49
1.05,52.3,C-一般,全天候/熊市优/震荡优,198.9,6.2,24.3,4.9,6.9,10,005600,汇安量化优选灵活配置C,固态电池,2020-02-18 ~ 2026-03-20,1480,16.77,2.68,-16.96,-3.11,33.73,13.03,56.9,2023-06-20,2024-02-05,666,0.39,0.21,1.008,7.49,-8.02,51.3,30,223,58.3,45.9,31.32,-30.43,1.03,0.02,-23.48,40.07,561.18,-304.35,30,21,24.4,98.7,1.3,30.5,27,75,1912.01,7319.97,4357.12,11677.09,3,17.8,55.31,4,-8.62,-63.61,6,7.36,2.22,0,1446,34,2,1,44,1,1,54,3,0,1,0,0,0,0,0,3,33,9,6,2,11,14,34,6,0,0,0,0,9,4,0,5,8,2,0,44,90.9,606.33,13.78,54,0.0,-818.35,-15.15,3,66.7,40.09,13.36,33,75.8,267.87,8.12,9,66.7,90.29,10.03,6,100.0,1422.81,237.13,2,100.0,39.9,19.95,11,90.9,444.2,40.38,14,0.0,-951.51,-67.97,34,91.2,968.86,28.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,-390.35,-78.07,8,100.0,191.87,23.98
